velikost_m2,leto_izgradnje,tip,cena_€
"36,6",2018,1-sobno,"348.000,00"
"47,2",1905,2-sobno,"298.000,00"
"49,1",1964,garsonjera,"175.000,00"
,,,"269.000,00"
"49,3",1960,5-sobno,"269.000,00"
"51,6",1956,2-sobno,"298.000,00"
"51,7",1956,2-sobno,"298.000,00"
"55,3",1960,2-sobno,"299.000,00"
"58,97",1962,3-sobno,"375.000,00"
"60,7",1963,2-sobno,"330.000,00"
"62,5",2022,2-sobno,"435.000,00"
"70,1",2024,5-sobno,"470.000,00"
"71,4",1967,3-sobno,"295.000,00"
"72,3",1963,3-sobno,"325.000,00"
"73,07",2025,3-sobno,"529.721,00"
"74,6",1967,3-sobno,"400.000,00"
"76,3",1964,5-sobno,"360.000,00"
"76,3",1964,4-sobno,"360.000,00"
"76,3",1964,3-sobno,"360.000,00"
"76,4",1964,3-sobno,"385.000,00"
80,1972,5-sobno,"450.000,00"
"84,7",1970,3-sobno,"420.000,00"
"85,5",2023,3-sobno,"880.000,00"
"85,8",1938,3-sobno,"540.000,00"
"87,5",1840,3-sobno,"368.000,00"
"90,6",1913,4-sobno,"439.000,00"
"96,5",2028,3-sobno,"689.000,00"
"96,9",1972,4-sobno,"549.000,00"
"105,6",1972,3-sobno,"549.000,00"
,,,"555.000,00"
111,1935,5-sobno,"555.000,00"
"114,9",2028,4-sobno,"846.000,00"
115,1970,3-sobno,"279.000,00"
"115,1",1970,3-sobno,"279.000,00"
"115,2",2028,4-sobno,"863.000,00"
"115,4",2028,4-sobno,"848.000,00"
"115,7",2028,4-sobno,"849.000,00"
"116,1",2028,4-sobno,"853.000,00"
"116,2",2028,4-sobno,"854.000,00"
"116,2",2028,4-sobno,"869.000,00"
"124,2",2028,4-sobno,"913.000,00"
"124,3",2028,4-sobno,"930.000,00"
"124,8",2028,4-sobno,"915.000,00"
"124,9",2028,4-sobno,"915.000,00"
"125,9",2028,4-sobno,"921.000,00"
"125,9",2028,4-sobno,"921.000,00"
"127,1",2028,4-sobno,"925.000,00"
"129,2",2028,4-sobno,"933.000,00"
"129,2",2028,4-sobno,"950.000,00"
"132,65",2021,4-sobno,"922.000,00"
"145,7",2001,,"740.000,00"
"145,8",2001,,"740.000,00"
"176,1",2028,3-sobno,"856.000,00"
"177,9",2028,3-sobno,"858.000,00"
186,2028,3-sobno,"890.000,00"
,,,"870.000,00"
"189,7",2028,3-sobno,"870.000,00"
192,2028,3-sobno,"873.000,00"
"195,2",2028,3-sobno,"837.000,00"
"213,6",2028,3-sobno,"918.000,00"
"221,6",2028,4-sobno,"1.029.000,00"
"231,3",2028,3-sobno,"937.000,00"
"235,3",2028,3-sobno,"920.000,00"
237,2028,3-sobno,"948.000,00"
"237,6",2028,3-sobno,"925.000,00"
241,2028,3-sobno,"918.000,00"
"243,3",2028,4-sobno,"1.049.000,00"
"253,1",2028,,"1.128.000,00"
"259,1",2028,3-sobno,"950.000,00"
"277,4",2028,4-sobno,"1.087.000,00"
"296,2",2028,4-sobno,"1.180.000,00"
"303,7",2028,4-sobno,"1.195.000,00"
"308,5",2028,4-sobno,"1.194.000,00"
17,1983,,"122.000,00"
"77,4",1949,2-sobno,"330.000,00"
"53,3",1981,2-sobno,"279.000,00"
"54,5",1972,2-sobno,"320.000,00"
"44,5",1839,2-sobno,"248.000,00"
78,1974,3-sobno,"375.000,00"
"80,7",1949,5-sobno,"430.000,00"
"114,8",1975,3-sobno,"530.000,00"
,,,"740.000,00"
146,2001,,"740.000,00"
71,1937,5-sobno,"332.000,00"
"299,76",2025,,"1.152.592,00"
30,2011,garsonjera,"205.000,00"
30,1978,garsonjera,"260.000,00"
33,1994,1-sobno,"178.000,00"
"46,7",1968,5-sobno,"306.000,00"
47,1936,2-sobno,"200.000,00"
"54,2",1978,2-sobno,"305.000,00"
"58,1",2025,2-sobno,"349.000,00"
"61,9",1963,3-sobno,"310.000,00"
"63,83",2025,3-sobno,"396.000,00"
"70,09",2025,3-sobno,"396.000,00"
"71,2",2025,3-sobno,"399.000,00"
"71,5",1978,3-sobno,"275.000,00"
"72,3",2025,3-sobno,"399.000,00"
"72,3",2025,3-sobno,"399.000,00"
"72,4",2025,3-sobno,"399.000,00"
"74,1",1928,3-sobno,"315.000,00"
109,1996,4-sobno,"670.000,00"
"113,1",1928,4-sobno,"469.000,00"
"124,9",1928,4-sobno,"515.000,00"
"147,6",2009,4-sobno,"649.500,00"
154,1977,3-sobno,"399.000,00"
"156,5",2009,4-sobno,"930.000,00"
,,,"1.265.000,00"
"201,5",2011,4-sobno,"1.265.000,00"
"240,95",2026,5-sobno,"699.157,00"
"323,4",1934,5-sobno,"980.000,00"
63,2005,3-sobno,"289.000,00"
"91,8",1981,4-sobno,"595.000,00"
109,1996,4-sobno,"670.000,00"
"69,1",1963,3-sobno,"376.000,00"
46,1913,2-sobno,"250.000,00"
61,1975,3-sobno,"379.000,00"
140,1920,4-sobno,"460.000,00"
"72,2",2006,garsonjera,"320.000,00"
"67,5",2026,3-sobno,"528.471,00"
"99,3",2026,4-sobno,"770.972,00"
154,2026,3-sobno,"581.157,00"
146,2001,,"740.000,00"
146,2001,,"740.000,00"
"67,5",2026,3-sobno,"528.471,00"
"97,1",2026,4-sobno,"764.321,00"
"60,24",1966,2-sobno,"350.000,00"
"55,2",1937,3-sobno,"165.000,00"
"59,8",1970,2-sobno,"300.000,00"
"43,9",1987,5-sobno,"280.000,00"
"58,3",1967,3-sobno,"310.000,00"
"60,5",1968,3-sobno,"319.000,00"
"61,1",1939,3-sobno,"260.000,00"
,,,"215.000,00"
"71,6",1965,3-sobno,"215.000,00"
"128,6",1970,3-sobno,"419.000,00"
231,2004,4-sobno,"1.050.000,00"
"44,1",1972,2-sobno,"279.000,00"
"46,8",1981,2-sobno,"278.000,00"
"46,51",1960,3-sobno,"199.000,00"
"76,8",2027,3-sobno,"472.020,00"
"144,5",2025,4-sobno,"1.059.000,00"
"157,8",2027,4-sobno,"896.260,00"
"293,35",2025,,"1.290.000,00"
299,2025,,"1.150.000,00"
299,2025,,"1.150.000,00"
60,1991,5-sobno,"450.000,00"
"55,3",1961,3-sobno,"312.000,00"
"66,6",1961,3-sobno,"349.000,00"
"39,7",1973,1-sobno,"235.000,00"
"42,2",1932,1-sobno,"189.000,00"
"55,7",1978,2-sobno,"295.000,00"
"97,3",1903,4-sobno,"360.000,00"
"110,6",2025,3-sobno,"580.000,00"
"110,6",2025,3-sobno,"550.000,00"
"110,6",2025,3-sobno,"580.000,00"
"113,1",2025,3-sobno,"550.000,00"
"217,9",1999,5-sobno,"759.500,00"
102,1965,3-sobno,"312.000,00"
,,,"595.000,00"
"147,5",2023,4-sobno,"595.000,00"
148,2023,4-sobno,"595.000,00"
"128,7",1969,3-sobno,"410.000,00"
"169,8",2028,4-sobno,"598.500,00"
50,1968,2-sobno,"310.000,00"
66,2026,5-sobno,"490.000,00"
87,1841,,"750.000,00"
"126,4",1922,,"650.000,00"
51,1963,2-sobno,"300.000,00"
"136,3",1984,4-sobno,"247.000,00"
"81,7",1963,3-sobno,"315.000,00"
"249,1",2017,2-sobno,"446.000,00"
"75,6",1932,5-sobno,"350.000,00"
"79,9",1960,4-sobno,"430.000,00"
"90,5",1963,3-sobno,"420.000,00"
"117,16",2027,3-sobno,"985.268,00"
"117,3",2025,4-sobno,"1.140.000,00"
"119,9",2022,4-sobno,"1.150.975,00"
120,2020,4-sobno,"1.180.000,00"
120,2020,4-sobno,"1.180.000,00"
"123,51",2026,4-sobno,"569.000,00"
"132,56",2027,4-sobno,"1.099.000,00"
"137,66",2027,3-sobno,"1.146.387,00"
"140,97",2024,3-sobno,"1.053.000,00"
"142,8",1920,3-sobno,"460.000,00"
,,,"1.200.000,00"
158,2025,4-sobno,"1.200.000,00"
"160,56",2027,4-sobno,"1.480.574,00"
"176,4",2025,,"980.000,00"
"253,3",2020,4-sobno,"1.180.000,00"
58,1936,2-sobno,"429.000,00"
"70,93",2026,3-sobno,"790.000,00"
109,1996,4-sobno,"685.000,00"
175,2020,4-sobno,"1.200.000,00"
"112,7",2024,3-sobno,"1.053.000,00"
30,1934,1-sobno,"160.000,00"
"34,3",1935,5-sobno,"249.000,00"
57,1935,5-sobno,"369.000,00"
60,1935,3-sobno,"315.000,00"
"60,3",1935,3-sobno,"329.000,00"
"60,3",1934,3-sobno,"315.000,00"
"64,4",2025,2-sobno,"461.900,00"
"65,8",1935,5-sobno,"315.000,00"
"68,9",2000,5-sobno,"437.000,00"
"77,11",2021,3-sobno,"560.000,00"
"78,9",1856,garsonjera,"358.000,00"
"79,1",2012,3-sobno,"590.000,00"
86,1971,3-sobno,"319.000,00"
"102,1",2007,4-sobno,"543.000,00"
"143,07",2025,,"499.000,00"
"145,1",2024,4-sobno,"485.000,00"
,,,"485.000,00"
"154,4",2024,,"485.000,00"
"157,7",2026,5-sobno,"750.000,00"
"157,7",2026,5-sobno,"750.000,00"
59,1938,3-sobno,"268.000,00"
